city,state,place,pct_non_white
Crosslake,Minnesota,13978,0.1814882032667886
Elkton,Minnesota,18728,0.0
Gibbon,Minnesota,23678,5.8744993324432615
Green Isle,Minnesota,25658,5.186385737439226
Winthrop,Minnesota,71122,8.254887762490949
Brooks,Minnesota,08038,2.7972027972028024
Litchfield,Minnesota,37448,3.4383954154727836
St. Michael,Minnesota,57346,8.83088820652792
Borup,Minnesota,07030,6.8627450980392135
Rice Lake,Minnesota,54056,92.25352112676056
Hill City,Minnesota,29096,13.149847094801226
McGrath,Minnesota,38996,0.0
Tamarack,Minnesota,64156,6.086956521739129
Amboy,Minnesota,01324,2.304147465437789
Eagle Lake,Minnesota,17378,11.240438975723311
Kerkhoven,Minnesota,32876,5.209840810419686
Comstock,Minnesota,12862,5.128205128205132
Johnson,Minnesota,32012,0.0
Felton,Minnesota,20834,0.0
Glyndon,Minnesota,24182,11.239414934565051
Hamburg,Minnesota,26666,1.9264448336252182
Mayer,Minnesota,41138,4.501278772378514
Watertown,Minnesota,68548,1.3384754990925618
Georgetown,Minnesota,23498,7.8947368421052655
Moorhead,Minnesota,43864,11.455786115186662
Foley,Minnesota,21536,4.911220249338877
Clearbrook,Minnesota,11746,6.8322981366459645
Eagan,Minnesota,17288,23.558655598909294
Callaway,Minnesota,09280,59.3939393939394
Lakeville,Minnesota,35180,13.511695220214348
Rosemount,Minnesota,55726,12.670838136011852
Negaunee,Michigan,56860,3.62876621948538
West Ishpeming,Michigan,85700,8.214676889375683
Ferrysburg,Michigan,27960,4.215068038499837
Grand Haven,Michigan,33340,3.083500090958702
Houghton Lake,Michigan,39400,2.268656716417905
Riverview,Michigan,68880,5.825162725549971
Taylor,Michigan,79000,24.718551947734568
Eaton Rapids,Michigan,24540,2.657235710189254
Coopersville,Michigan,18020,7.211101000909914
Centreville village,Michigan,14460,10.40688575899843
Sturgis,Michigan,76960,12.361302154974785
Holland,Michigan,38640,18.34620681396324
Norton Shores,Michigan,59140,8.16610127927413
Harvey,Michigan,37080,4.889178617992174
Palmer,Michigan,62180,1.4184397163120588
St. Helen,Michigan,70800,4.0434294271808335
Forestville village,Michigan,29660,1.8867924528301883
Leslie,Michigan,47180,3.8461538461538436
Okemos,Michigan,60340,29.804067768526576
Detroit Beach,Michigan,22040,3.6739380022962065
Twin Lake,Michigan,81040,0.7931262392597449
Spring Lake village,Michigan,75820,2.4267782426778295
Posen village,Michigan,66000,0.540540540540535
Westland,Michigan,86000,25.69503771144036
Lake City,Michigan,44480,11.02464332036317
Marion village,Michigan,51660,2.4553571428571397
Caspian,Michigan,13860,10.901467505241092
Weidman,Michigan,85140,1.9583843329253336
Potterville,Michigan,66100,8.293402137854777
Sunfield village,Michigan,77420,7.738095238095233
Ferndale,Michigan,27880,12.275910016387748
Hazel Park,Michigan,37420,21.19213313161876
Lincoln Park,Michigan,47800,22.298825517072242
Farmington,Michigan,27380,31.013916500994032
Lost Lake Woods,Michigan,49450,0.0
Brighton,Michigan,10620,4.575761537455881
Galien village,Michigan,31300,4.228329809725162
Lake Michigan Beach,Michigan,44820,0.5042016806722671
Elsie village,Michigan,25780,7.365439093484416
Clifford village,Michigan,16420,1.0489510489510523
Norway,Michigan,59220,4.686373467916372
Columbiaville village,Michigan,17460,3.6263736263736246
Turner village,Michigan,80820,15.384615384615385
Ovid,Michigan,61860,1.7667844522968212
Newaygo,Michigan,57080,4.314105671352397
Byron Center,Michigan,12280,7.2788827761320345
Forest Hills,Michigan,29580,8.559108875314415
Richmond,Michigan,68380,9.06457658885671
St. Clair,Michigan,70680,4.392716350666415
Powers village,Michigan,66140,2.428256070640178
Center Line,Michigan,14320,29.757869249394673
Romeo village,Michigan,69400,9.25443169968717
Robin Glen-Indiantown,Michigan,68990,9.308510638297873
Au Gres,Michigan,04120,8.539603960396036
Omer,Michigan,60660,6.949806949806947
Beaverton,Michigan,06660,4.7826086956521685
Breckenridge village,Michigan,10160,3.731343283582089
Frankfort,Michigan,30260,1.7941454202077378
Ironwood,Michigan,41060,5.005045408678099
Coleman,Michigan,17100,2.643504531722052
Howard City village,Michigan,39500,5.538074260541226
Chickamaw Beach,Minnesota,11296,7.272727272727275
Lake Shore,Minnesota,34928,2.158979391560356
Longville,Minnesota,38114,2.298850574712641
Hutchinson,Minnesota,30644,4.707488860140863
Ogilvie,Minnesota,48166,6.504065040650408
St. Clair,Minnesota,56824,4.855643044619418
Skyline,Minnesota,60754,3.2490974729241895
